ResourceName,ProjectID,Region,Importance,LastActivity,AssetType,FullResourcePath
system:certificates.k8s.io:legacy-unknown-approver,gemini-poc-486906,me-central1,High,Unknown (Always Important),rbac.authorization.k8s.io/ClusterRole,//container.googleapis.com/projects/gemini-poc-486906/locations/me-central1/clusters/demo-gk1/k8s/rbac.authorization.k8s.io/clusterroles/system:certificates.k8s.io:legacy-unknown-approver
system:cloud-controller-manager,gemini-poc-486906,me-central1,High,Unknown (Always Important),rbac.authorization.k8s.io/ClusterRole,//container.googleapis.com/projects/gemini-poc-486906/locations/me-central1/clusters/demo-gk1/k8s/rbac.authorization.k8s.io/clusterroles/system:cloud-controller-manager
system:clouddns-role,gemini-poc-486906,me-central1,High,Unknown (Always Important),rbac.authorization.k8s.io/ClusterRole,//container.googleapis.com/projects/gemini-poc-486906/locations/me-central1/clusters/demo-gk1/k8s/rbac.authorization.k8s.io/clusterroles/system:clouddns-role
system:clustermetrics,gemini-poc-486906,me-central1,High,Unknown (Always Important),rbac.authorization.k8s.io/ClusterRole,//container.googleapis.com/projects/gemini-poc-486906/locations/me-central1/clusters/demo-gk1/k8s/rbac.authorization.k8s.io/clusterroles/system:clustermetrics
system:controller:attachdetach-controller,gemini-poc-486906,me-central1,High,Unknown (Always Important),rbac.authorization.k8s.io/ClusterRole,//container.googleapis.com/projects/gemini-poc-486906/locations/me-central1/clusters/demo-gk1/k8s/rbac.authorization.k8s.io/clusterroles/system:controller:attachdetach-controller
system:controller:certificate-controller,gemini-poc-486906,me-central1,High,Unknown (Always Important),rbac.authorization.k8s.io/ClusterRole,//container.googleapis.com/projects/gemini-poc-486906/locations/me-central1/clusters/demo-gk1/k8s/rbac.authorization.k8s.io/clusterroles/system:controller:certificate-controller
system:controller:cloud-node-controller,gemini-poc-486906,me-central1,High,Unknown (Always Important),rbac.authorization.k8s.io/ClusterRole,//container.googleapis.com/projects/gemini-poc-486906/locations/me-central1/clusters/demo-gk1/k8s/rbac.authorization.k8s.io/clusterroles/system:controller:cloud-node-controller
system:controller:clusterrole-aggregation-controller,gemini-poc-486906,me-central1,High,Unknown (Always Important),rbac.authorization.k8s.io/ClusterRole,//container.googleapis.com/projects/gemini-poc-486906/locations/me-central1/clusters/demo-gk1/k8s/rbac.authorization.k8s.io/clusterroles/system:controller:clusterrole-aggregation-controller
system:controller:cronjob-controller,gemini-poc-486906,me-central1,High,Unknown (Always Important),rbac.authorization.k8s.io/ClusterRole,//container.googleapis.com/projects/gemini-poc-486906/locations/me-central1/clusters/demo-gk1/k8s/rbac.authorization.k8s.io/clusterroles/system:controller:cronjob-controller
system:controller:daemon-set-controller,gemini-poc-486906,me-central1,High,Unknown (Always Important),rbac.authorization.k8s.io/ClusterRole,//container.googleapis.com/projects/gemini-poc-486906/locations/me-central1/clusters/demo-gk1/k8s/rbac.authorization.k8s.io/clusterroles/system:controller:daemon-set-controller
system:controller:deployment-controller,gemini-poc-486906,me-central1,High,Unknown (Always Important),rbac.authorization.k8s.io/ClusterRole,//container.googleapis.com/projects/gemini-poc-486906/locations/me-central1/clusters/demo-gk1/k8s/rbac.authorization.k8s.io/clusterroles/system:controller:deployment-controller
system:controller:disruption-controller,gemini-poc-486906,me-central1,High,Unknown (Always Important),rbac.authorization.k8s.io/ClusterRole,//container.googleapis.com/projects/gemini-poc-486906/locations/me-central1/clusters/demo-gk1/k8s/rbac.authorization.k8s.io/clusterroles/system:controller:disruption-controller
system:controller:endpoint-controller,gemini-poc-486906,me-central1,High,Unknown (Always Important),rbac.authorization.k8s.io/ClusterRole,//container.googleapis.com/projects/gemini-poc-486906/locations/me-central1/clusters/demo-gk1/k8s/rbac.authorization.k8s.io/clusterroles/system:controller:endpoint-controller
system:controller:endpointslice-controller,gemini-poc-486906,me-central1,High,Unknown (Always Important),rbac.authorization.k8s.io/ClusterRole,//container.googleapis.com/projects/gemini-poc-486906/locations/me-central1/clusters/demo-gk1/k8s/rbac.authorization.k8s.io/clusterroles/system:controller:endpointslice-controller
system:controller:endpointslicemirroring-controller,gemini-poc-486906,me-central1,High,Unknown (Always Important),rbac.authorization.k8s.io/ClusterRole,//container.googleapis.com/projects/gemini-poc-486906/locations/me-central1/clusters/demo-gk1/k8s/rbac.authorization.k8s.io/clusterroles/system:controller:endpointslicemirroring-controller
system:controller:ephemeral-volume-controller,gemini-poc-486906,me-central1,High,Unknown (Always Important),rbac.authorization.k8s.io/ClusterRole,//container.googleapis.com/projects/gemini-poc-486906/locations/me-central1/clusters/demo-gk1/k8s/rbac.authorization.k8s.io/clusterroles/system:controller:ephemeral-volume-controller
system:controller:expand-controller,gemini-poc-486906,me-central1,High,Unknown (Always Important),rbac.authorization.k8s.io/ClusterRole,//container.googleapis.com/projects/gemini-poc-486906/locations/me-central1/clusters/demo-gk1/k8s/rbac.authorization.k8s.io/clusterroles/system:controller:expand-controller
system:controller:generic-garbage-collector,gemini-poc-486906,me-central1,High,Unknown (Always Important),rbac.authorization.k8s.io/ClusterRole,//container.googleapis.com/projects/gemini-poc-486906/locations/me-central1/clusters/demo-gk1/k8s/rbac.authorization.k8s.io/clusterroles/system:controller:generic-garbage-collector
system:controller:gke-service-controller,gemini-poc-486906,me-central1,High,Unknown (Always Important),rbac.authorization.k8s.io/ClusterRole,//container.googleapis.com/projects/gemini-poc-486906/locations/me-central1/clusters/demo-gk1/k8s/rbac.authorization.k8s.io/clusterroles/system:controller:gke-service-controller
system:controller:glbc,gemini-poc-486906,me-central1,High,Unknown (Always Important),rbac.authorization.k8s.io/ClusterRole,//container.googleapis.com/projects/gemini-poc-486906/locations/me-central1/clusters/demo-gk1/k8s/rbac.authorization.k8s.io/clusterroles/system:controller:glbc
system:controller:horizontal-pod-autoscaler,gemini-poc-486906,me-central1,High,Unknown (Always Important),rbac.authorization.k8s.io/ClusterRole,//container.googleapis.com/projects/gemini-poc-486906/locations/me-central1/clusters/demo-gk1/k8s/rbac.authorization.k8s.io/clusterroles/system:controller:horizontal-pod-autoscaler
system:controller:job-controller,gemini-poc-486906,me-central1,High,Unknown (Always Important),rbac.authorization.k8s.io/ClusterRole,//container.googleapis.com/projects/gemini-poc-486906/locations/me-central1/clusters/demo-gk1/k8s/rbac.authorization.k8s.io/clusterroles/system:controller:job-controller
system:controller:legacy-service-account-token-cleaner,gemini-poc-486906,me-central1,High,Unknown (Always Important),rbac.authorization.k8s.io/ClusterRole,//container.googleapis.com/projects/gemini-poc-486906/locations/me-central1/clusters/demo-gk1/k8s/rbac.authorization.k8s.io/clusterroles/system:controller:legacy-service-account-token-cleaner
system:controller:namespace-controller,gemini-poc-486906,me-central1,High,Unknown (Always Important),rbac.authorization.k8s.io/ClusterRole,//container.googleapis.com/projects/gemini-poc-486906/locations/me-central1/clusters/demo-gk1/k8s/rbac.authorization.k8s.io/clusterroles/system:controller:namespace-controller
system:controller:node-controller,gemini-poc-486906,me-central1,High,Unknown (Always Important),rbac.authorization.k8s.io/ClusterRole,//container.googleapis.com/projects/gemini-poc-486906/locations/me-central1/clusters/demo-gk1/k8s/rbac.authorization.k8s.io/clusterroles/system:controller:node-controller
system:controller:persistent-volume-binder,gemini-poc-486906,me-central1,High,Unknown (Always Important),rbac.authorization.k8s.io/ClusterRole,//container.googleapis.com/projects/gemini-poc-486906/locations/me-central1/clusters/demo-gk1/k8s/rbac.authorization.k8s.io/clusterroles/system:controller:persistent-volume-binder
